"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2013-02-26,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-02-28,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-28,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-28,3,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-03-03,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-03,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-03,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-03,4,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-03-03,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-03,6,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-03-03,7,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-03-03,8,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-03-05,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-05,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-05,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-05,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-05,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-05,6,325,,3,,"325 lb || 3 reps","190"
"Barbell Squat",2013-03-05,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-05,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-08,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-08,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-08,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-08,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-08,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-08,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-08,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-08,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-09,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-09,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-09,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-09,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-09,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-09,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-09,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-11,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-11,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-11,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-11,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-11,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-11,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-11,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-11,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-13,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-13,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-13,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-13,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-13,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-13,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-13,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-15,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-15,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-15,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-15,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-15,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-15,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-15,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-15,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-21,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-21,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-21,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-21,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-21,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-21,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-23,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-23,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-23,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-23,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-23,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-23,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-23,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-23,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-25,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-25,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-25,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-25,104,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-03-25,105,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-25,106,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2013-03-25,107,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-25,108,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-25,109,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-28,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-28,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-28,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-28,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-28,5,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-03-28,6,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-28,7,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2013-03-28,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-28,9,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-28,10,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-29,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-29,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-29,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-03-29,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-29,6,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2013-03-29,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-29,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-04-03,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-03,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-03,3,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-04-03,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-04-03,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-04-03,6,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2013-04-03,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-04-03,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-04-03,9,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-04-04,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-04,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-04,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-04,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-04,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-04-04,6,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-04-04,7,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-04-04,8,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-04-06,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-06,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-06,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-06,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-06,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-04-06,6,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2013-04-06,7,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2013-04-06,8,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2013-04-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-09,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-09,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-09,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-04-09,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-04-09,6,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2013-04-09,7,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2013-04-09,8,330,,4,,"330 lb || 4 reps","224"
"Barbell Squat",2013-04-11,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-11,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-11,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-11,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-11,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-04-11,6,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2013-04-11,7,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2013-04-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-13,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-13,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-13,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-13,5,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2013-04-13,6,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-13,7,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-13,8,325,,1,,"325 lb || 1 reps","130"
"Barbell Squat",2013-04-13,9,315,,1,,"315 lb || 1 reps","121"
"Barbell Squat",2013-04-16,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-16,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-16,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-16,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-16,5,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2013-04-16,6,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-16,7,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-16,8,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-19,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-19,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-19,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-19,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-19,5,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2013-04-19,6,340,,5,,"340 lb || 5 reps","262"
"Barbell Squat",2013-04-19,7,340,,5,,"340 lb || 5 reps","262"
"Barbell Squat",2013-04-19,8,340,,5,,"340 lb || 5 reps","262"
"Barbell Squat",2013-04-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-21,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-21,4,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-04-24,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-24,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-24,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-24,4,230,,20,,"230 lb || 20 reps","164"
"Barbell Squat",2013-04-26,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-26,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-26,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-26,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-26,5,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2013-04-26,6,345,,5,,"345 lb || 5 reps","271"
"Barbell Squat",2013-04-26,7,345,,4,,"345 lb || 4 reps","248"
"Barbell Squat",2013-04-26,8,345,,3,,"345 lb || 3 reps","218"
"Barbell Squat",2013-04-27,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-27,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-27,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-27,4,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-04-27,5,275,,2,,"275 lb || 2 reps","114"
"Barbell Squat",2013-04-27,6,345,,3,,"345 lb || 3 reps","218"
"Barbell Squat",2013-04-27,7,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-27,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-04-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-29,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-04-29,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-04-29,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-04-29,5,275,,2,,"275 lb || 2 reps","114"
"Barbell Squat",2013-04-29,6,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-29,7,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2013-04-29,8,335,,3,,"335 lb || 3 reps","203"
"Barbell Squat",2013-05-02,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-02,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-02,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-02,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-05-02,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-05-02,6,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2013-05-02,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-05-02,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-05-02,9,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-05-04,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-04,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-04,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-04,104,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-05-04,105,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-05-04,106,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2013-05-04,107,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-05-04,108,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-05-04,109,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-05-04,110,225,,10,,"225 lb || 10 reps","142"
"Barbell Squat",2013-05-10,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-10,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-10,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-10,104,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-05-14,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-14,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-14,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-14,4,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-05-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-21,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-21,4,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-05-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-29,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-29,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-29,4,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-05-31,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-31,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-05-31,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-05-31,4,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-06-05,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-05,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-05,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-05,104,230,,20,,"230 lb || 20 reps","164"
"Barbell Squat",2013-06-07,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-07,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-07,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-07,104,230,,20,,"230 lb || 20 reps","164"
"Barbell Squat",2013-06-12,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-12,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-12,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-12,104,235,,20,,"235 lb || 20 reps","170"
"Barbell Squat",2013-06-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-21,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-21,4,235,,20,,"235 lb || 20 reps","170"
"Barbell Squat",2013-06-26,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-26,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-26,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-26,4,240,,20,,"240 lb || 20 reps","176"
"Barbell Squat",2013-06-28,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-28,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-06-28,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-06-28,4,240,,20,,"240 lb || 20 reps","176"
"Barbell Squat",2013-07-01,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-01,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-07-01,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-07-01,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-07-01,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-07-08,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-08,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-08,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-07-08,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-07-08,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-07-08,6,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-07-10,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-10,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-10,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-07-10,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-07-10,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-07-10,6,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2013-07-17,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-17,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-17,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-07-17,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-07-17,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-07-17,6,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-07-17,7,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2013-07-24,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-24,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-24,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-07-24,4,185,,5,,"185 lb || 5 reps","92"
