"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2014-01-27,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-27,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-27,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-01-27,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-01-27,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-01-27,6,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-01-29,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-29,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-29,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-01-29,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-01-29,5,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-01-31,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-31,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-31,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-01-31,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-01-31,5,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-02-03,1,150,,5,,"150 lb || 5 reps","73"
"Barbell Squat",2014-02-03,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-02-03,3,220,,5,,"220 lb || 5 reps","117"
"Barbell Squat",2014-02-03,4,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2014-02-03,5,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2014-02-05,1,150,,5,,"150 lb || 5 reps","73"
"Barbell Squat",2014-02-05,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-02-05,3,220,,5,,"220 lb || 5 reps","117"
"Barbell Squat",2014-02-05,4,220,,5,,"220 lb || 5 reps","117"
"Barbell Squat",2014-02-07,1,150,,5,,"150 lb || 5 reps","73"
"Barbell Squat",2014-02-07,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-02-07,3,220,,5,,"220 lb || 5 reps","117"
"Barbell Squat",2014-02-07,4,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2014-02-07,5,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2014-02-07,6,220,,8,,"220 lb || 8 reps","133"
"Barbell Squat",2014-02-10,1,150,,5,,"150 lb || 5 reps","73"
"Barbell Squat",2014-02-10,2,190,,5,,"190 lb || 5 reps","95"
"Barbell Squat",2014-02-10,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-02-10,4,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-02-10,5,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2014-02-12,1,150,,5,,"150 lb || 5 reps","73"
"Barbell Squat",2014-02-12,2,190,,5,,"190 lb || 5 reps","95"
"Barbell Squat",2014-02-12,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-02-12,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-02-14,1,150,,5,,"150 lb || 5 reps","73"
"Barbell Squat",2014-02-14,2,190,,5,,"190 lb || 5 reps","95"
"Barbell Squat",2014-02-14,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-02-14,4,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-02-14,5,310,,3,,"310 lb || 3 reps","172"
"Barbell Squat",2014-02-14,6,225,,8,,"225 lb || 8 reps","137"
"Barbell Squat",2014-02-17,1,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-02-17,2,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-02-17,3,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-02-17,4,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-02-17,5,310,,5,,"310 lb || 5 reps","214"
"Barbell Squat",2014-02-19,1,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-02-19,2,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-02-19,3,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-02-19,4,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-02-21,1,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-02-21,2,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-02-21,3,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-02-21,4,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-02-21,5,320,,3,,"320 lb || 3 reps","184"
"Barbell Squat",2014-02-21,6,235,,8,,"235 lb || 8 reps","147"
"Barbell Squat",2014-02-24,1,160,,5,,"160 lb || 5 reps","78"
"Barbell Squat",2014-02-24,2,200,,5,,"200 lb || 5 reps","102"
"Barbell Squat",2014-02-24,3,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-02-24,4,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2014-02-24,5,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2014-02-28,1,160,,5,,"160 lb || 5 reps","78"
"Barbell Squat",2014-02-28,2,200,,5,,"200 lb || 5 reps","102"
"Barbell Squat",2014-02-28,3,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-02-28,4,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2014-02-28,5,325,,3,,"325 lb || 3 reps","190"
"Barbell Squat",2014-02-28,6,240,,8,,"240 lb || 8 reps","152"
"Barbell Squat",2014-03-03,1,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-03-03,2,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-03-03,3,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-03-03,4,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-03-03,5,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-03-05,1,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-03-05,2,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-03-05,3,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-03-05,4,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-03-09,1,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-03-09,2,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-03-09,3,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-03-09,4,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-03-09,5,335,,3,,"335 lb || 3 reps","203"
"Barbell Squat",2014-03-09,6,245,,8,,"245 lb || 8 reps","157"
"Barbell Squat",2014-03-10,1,170,,5,,"170 lb || 5 reps","83"
"Barbell Squat",2014-03-10,2,210,,5,,"210 lb || 5 reps","109"
"Barbell Squat",2014-03-10,3,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2014-03-10,4,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2014-03-10,5,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2014-03-13,1,170,,5,,"170 lb || 5 reps","83"
"Barbell Squat",2014-03-13,2,210,,5,,"210 lb || 5 reps","109"
"Barbell Squat",2014-03-13,3,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2014-03-13,4,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2014-03-14,1,170,,5,,"170 lb || 5 reps","83"
"Barbell Squat",2014-03-14,2,210,,5,,"210 lb || 5 reps","109"
"Barbell Squat",2014-03-14,3,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2014-03-14,4,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2014-03-14,5,340,,3,,"340 lb || 3 reps","210"
"Barbell Squat",2014-03-14,6,250,,8,,"250 lb || 8 reps","162"
"Barbell Squat",2014-03-17,1,170,,5,,"170 lb || 5 reps","83"
"Barbell Squat",2014-03-17,2,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-03-17,3,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-03-17,4,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2014-03-17,5,340,,5,,"340 lb || 5 reps","262"
"Barbell Squat",2014-03-19,1,170,,5,,"170 lb || 5 reps","83"
"Barbell Squat",2014-03-19,2,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-03-19,3,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-03-19,4,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-03-21,1,170,,5,,"170 lb || 5 reps","83"
"Barbell Squat",2014-03-21,2,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-03-21,3,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-03-21,4,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2014-03-21,5,350,,3,,"350 lb || 3 reps","225"
"Barbell Squat",2014-03-21,6,255,,8,,"255 lb || 8 reps","168"
"Barbell Squat",2014-03-24,1,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-03-24,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-03-24,3,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-03-24,4,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2014-03-24,5,350,,5,,"350 lb || 5 reps","281"
"Barbell Squat",2014-03-26,1,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-03-26,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-03-26,3,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-03-26,4,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-03-28,1,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-03-28,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-03-28,3,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-03-28,4,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2014-03-28,5,360,,3,,"360 lb || 3 reps","241"
"Barbell Squat",2014-03-28,6,265,,8,,"265 lb || 8 reps","180"
"Barbell Squat",2014-04-01,1,180,,5,,"180 lb || 5 reps","89"
"Barbell Squat",2014-04-01,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-04-01,3,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-04-01,4,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-04-01,5,360,,5,,"360 lb || 5 reps","300"
"Barbell Squat",2014-04-02,1,180,,5,,"180 lb || 5 reps","89"
"Barbell Squat",2014-04-02,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-04-02,3,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-04-02,4,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-04-04,1,180,,5,,"180 lb || 5 reps","89"
"Barbell Squat",2014-04-04,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-04-04,3,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-04-04,4,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-04-04,5,370,,3,,"370 lb || 3 reps","258"
"Barbell Squat",2014-04-04,6,270,,8,,"270 lb || 8 reps","186"
"Barbell Squat",2014-04-07,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-04-07,2,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2014-04-07,3,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2014-04-07,4,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-04-07,5,370,,5,,"370 lb || 5 reps","321"
"Barbell Squat",2014-04-09,1,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-04-09,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-04-09,3,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-04-09,4,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-04-11,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-04-11,2,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2014-04-11,3,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2014-04-11,4,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-04-11,5,380,,3,,"380 lb || 3 reps","276"
"Barbell Squat",2014-04-11,6,280,,8,,"280 lb || 8 reps","199"
"Barbell Squat",2014-04-14,1,190,,5,,"190 lb || 5 reps","95"
"Barbell Squat",2014-04-14,2,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-04-14,3,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-04-14,4,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2014-04-14,5,375,,5,,"375 lb || 5 reps","332"
"Barbell Squat",2014-04-16,1,190,,5,,"190 lb || 5 reps","95"
"Barbell Squat",2014-04-16,2,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-04-16,3,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-04-16,4,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-04-18,1,190,,5,,"190 lb || 5 reps","95"
"Barbell Squat",2014-04-18,2,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-04-18,3,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-04-18,4,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2014-04-18,5,385,,3,,"385 lb || 3 reps","285"
"Barbell Squat",2014-04-18,6,285,,8,,"285 lb || 8 reps","206"
"Barbell Squat",2014-04-21,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-04-21,2,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-04-21,3,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-04-21,4,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-04-21,5,375,,5,,"375 lb || 5 reps","332"
"Barbell Squat",2014-04-23,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-04-23,2,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-04-23,3,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-04-23,4,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-05-02,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-02,2,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2014-05-02,3,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2014-05-02,4,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2014-05-02,5,375,,5,,"375 lb || 5 reps","332"
"Barbell Squat",2014-05-02,6,285,,8,,"285 lb || 8 reps","206"
"Barbell Squat",2014-05-05,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-05,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-05,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-05-05,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-05-05,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-05-08,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-08,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-08,7,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-05-09,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-09,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-09,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-05-09,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-05-09,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-05-09,6,365,,3,,"365 lb || 3 reps","249"
"Barbell Squat",2014-05-12,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-12,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-05-12,3,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-05-12,4,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-05-12,5,365,,5,,"365 lb || 5 reps","310"
"Barbell Squat",2014-06-09,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-06-09,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-09,3,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-06-09,4,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-06-12,1,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-06-12,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-12,3,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-06-12,4,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-06-12,5,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2014-06-16,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-16,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-06-16,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-16,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-06-16,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-06-18,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-18,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-06-18,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-18,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-06-18,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-06-20,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-20,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-06-20,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-20,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-06-20,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-06-25,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-25,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-06-25,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-25,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-06-25,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-06-30,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-30,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-06-30,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-30,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-06-30,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-07-02,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-07-02,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-07-02,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-07-02,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-02,5,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2014-07-14,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-07-14,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-07-14,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-07-14,4,265,,6,,"265 lb || 6 reps","168"
"Barbell Squat",2014-07-14,5,265,,6,,"265 lb || 6 reps","168"
"Barbell Squat",2014-07-14,6,265,,6,,"265 lb || 6 reps","168"
"Barbell Squat",2014-07-14,7,265,,6,,"265 lb || 6 reps","168"
"Barbell Squat",2014-07-14,8,265,,6,,"265 lb || 6 reps","168"
"Barbell Squat",2014-07-14,9,265,,6,,"265 lb || 6 reps","168"
"Barbell Squat",2014-07-18,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-07-18,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-07-18,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-07-18,4,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-18,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-18,6,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-18,7,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-18,8,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-18,9,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-18,10,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-07-22,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-07-22,2,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-07-22,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-07-22,4,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-07-22,5,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-07-22,6,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-07-22,7,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-07-22,8,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-07-22,9,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-07-22,10,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-07-22,11,285,,4,,"285 lb || 4 reps","165"
"Barbell Squat",2014-08-26,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-26,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-26,3,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2014-08-26,4,165,,3,,"165 lb || 3 reps","64"
"Barbell Squat",2014-08-26,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2014-08-26,6,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-08-26,7,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-08-26,8,275,,5,,"275 lb || 5 reps","169"
